React (https://github.com/facebook/react/issues),,,,,,,
#12137,Use native ESM for dev scripts,https://github.com/babel/babel/issues/12137,"claimed, good first issue, i: enhancement, outdated",x,x,x,x
#11646,Babel should transform class private properties mixed with logical assignment operators,https://github.com/babel/babel/issues/11646,"Spec: Class Fields, Spec: Logical Assignment, good first issue, i: bug, outdated",x,x,x,x
#11187,Forced calls of OptionalCalls do not print correctly,https://github.com/babel/babel/issues/11187,"Has PR, Spec: Optional Chaining, claimed, good first issue, i: bug, outdated, pkg: generator",x,x,x,x
#10921,Add numeric separator to shippedProposals in preset-env,https://github.com/babel/babel/issues/10921,"Has PR, claimed, good first issue, i: enhancement, outdated",x,x,x,x
#10805,Optional delete must return true when base is nullish,https://github.com/babel/babel/issues/10805,"Spec: Optional Chaining, claimed, good first issue, i: bug, outdated",x,x,x,x
#10802,Optional Chaining does not propagate receiver when parenthesized,https://github.com/babel/babel/issues/10802,"Has PR, Spec: Optional Chaining, claimed, good first issue, i: bug, outdated",x,x,x,x
#10785,String valued enums differ from tsc,https://github.com/babel/babel/issues/10785,"area: typescript, good first issue, i: bug, outdated",x,,x,x
#10769,Trailing comma in typescript spread,https://github.com/babel/babel/issues/10769,"area: typescript, good first issue, i: bug, outdated, pkg: parser",x,x,,
#10673,Optional chaining on super.method() breaks,https://github.com/babel/babel/issues/10673,"Has PR, Spec: Optional Chaining, claimed, good first issue, i: bug, outdated",x,x,x,
#4148,What should the issue/PR templates be?,https://github.com/babel/babel/issues/4148,"good first issue, help wanted, i: discussion, outdated",x,,x,x
#4097,export-import uses Object.defineProperty even when es6.modules is in loose mode (T7116),https://github.com/babel/babel/issues/4097,"area: modules, claimed, good first issue, outdated",x,x,x,
,,,,,,,
Ember(https://github.com/emberjs/ember.js),,,,,,,
id,title,link,Labels,closed,OB,EB,S2R
#11898,Deprecate and remove function argument in Ember.assert/deprecate/etc,https://github.com/emberjs/ember.js/issues/11898,Good for New Contributors,x,x,x,x
#10823,Aliases are not enumerated in eachComputedProperty,https://github.com/emberjs/ember.js/issues/10823,"Bug, Good for New Contributors",x,x,x,x
#10800,Scheduling a method that is undefined should throw,https://github.com/emberjs/ember.js/issues/10800,Good for New Contributors,x,x,x,x
#11835,Update Ember.deprecate and Ember.warn calls to include required options.,https://github.com/emberjs/ember.js/issues/11835,Good for New Contributors,x,x,x,x
